,winrate_total,sum_total,winrate_total_z,winrate_total_minmax,sum_total_z,sum_total_minmax
0,52%,71,0.30041012840297876,0.52,4.08013084642197,1.0
1,52%,58,0.30041012840297876,0.52,3.1773717810621944,0.8142857142857143
2,61%,57,0.6332766274625605,0.61,3.1079287760345196,0.8
3,54%,52,0.3743804615273304,0.54,2.760713750896144,0.7285714285714286
4,65%,49,0.7812172937112637,0.65,2.552384735813119,0.6857142857142857
5,53%,43,0.3373952949651546,0.53,2.1357267056470683,0.6
6,55%,38,0.41136562808950616,0.55,1.788511680508693,0.5285714285714286
7,61%,36,0.6332766274625605,0.61,1.6496256704533427,0.49999999999999994
8,49%,35,0.18945462871645138,0.49,1.5801826654256677,0.4857142857142857
9,46%,35,0.07849912902992419,0.46,1.5801826654256677,0.4857142857142857
10,52%,33,0.30041012840297876,0.52,1.4412966553703175,0.45714285714285713
11,50%,32,0.22643979527862718,0.5,1.3718536503426424,0.44285714285714284
12,45%,29,0.0415139624677484,0.45,1.1635246352596171,0.39999999999999997
13,44%,25,0.004528795905572597,0.44,0.8857526151489169,0.34285714285714286
14,50%,24,0.22643979527862718,0.5,0.8163096101212418,0.32857142857142857
15,57%,23,0.48533596121385736,0.57,0.7468666050935667,0.3142857142857143
16,50%,22,0.22643979527862718,0.5,0.6774236000658916,0.3
17,52%,21,0.30041012840297876,0.52,0.6079805950382166,0.2857142857142857
18,65%,20,0.7812172937112637,0.65,0.5385375900105415,0.2714285714285714
19,42%,19,-0.069441537218779,0.42,0.46909458498286644,0.2571428571428571
20,61%,18,0.6332766274625605,0.61,0.39965157995519135,0.24285714285714283
21,44%,18,0.004528795905572597,0.44,0.39965157995519135,0.24285714285714283
22,39%,18,-0.1803970369053062,0.39,0.39965157995519135,0.24285714285714283
23,53%,17,0.3373952949651546,0.53,0.33020857492751626,0.22857142857142856
24,31%,16,-0.47627836940271234,0.31,0.2607655698998412,0.21428571428571427
25,67%,15,0.8551876268356153,0.67,0.1913225648721661,0.19999999999999998
26,33%,15,-0.40230803627836076,0.33,0.1913225648721661,0.19999999999999998
27,57%,14,0.48533596121385736,0.57,0.121879559844491,0.1857142857142857
28,36%,14,-0.2913525365918336,0.36,0.121879559844491,0.1857142857142857
29,54%,13,0.3743804615273304,0.54,0.052436554816815924,0.17142857142857143
30,38%,13,-0.217382203467482,0.38,0.052436554816815924,0.17142857142857143
31,31%,13,-0.47627836940271234,0.31,0.052436554816815924,0.17142857142857143
32,25%,12,-0.698189368775767,0.25,-0.017006450210859163,0.15714285714285714
33,45%,11,0.0415139624677484,0.45,-0.08644945523853424,0.14285714285714285
