,kpm,okpm,a,k,d,performance
0,0.0,0.0376884422110552,4.0,0.0,4.0,C
1,0.0376884422110552,0.2638190954773869,5.0,1.0,4.0,A
2,0.0376884422110552,0.1130653266331658,6.0,1.0,5.0,C
3,0.1130653266331658,0.414572864321608,1.0,3.0,4.0,A
4,0.0753768844221105,0.0,2.0,2.0,5.0,A
5,0.0376884422110552,0.0,12.0,1.0,1.0,B
6,0.2638190954773869,0.0376884422110552,6.0,7.0,1.0,A
7,0.1130653266331658,0.0376884422110552,10.0,3.0,2.0,C
8,0.414572864321608,0.1130653266331658,5.0,11.0,0.0,A
9,0.0,0.0753768844221105,18.0,0.0,3.0,A
10,0.0788091068301225,0.052539404553415,4.0,3.0,5.0,C
11,0.0262697022767075,0.0788091068301225,6.0,1.0,5.0,C
12,0.0262697022767075,0.1313485113835376,1.0,1.0,3.0,C
13,0.0788091068301225,0.1313485113835376,2.0,3.0,1.0,B
14,0.0,0.0262697022767075,4.0,0.0,2.0,C
15,0.052539404553415,0.0788091068301225,11.0,2.0,2.0,C
16,0.0788091068301225,0.0262697022767075,4.0,3.0,2.0,C
17,0.1313485113835376,0.0262697022767075,6.0,5.0,1.0,C
18,0.1313485113835376,0.0788091068301225,4.0,5.0,0.0,B
19,0.0262697022767075,0.0,9.0,1.0,3.0,C
20,0.0266075388026607,0.0798226164079822,14.0,1.0,2.0,A
21,0.0,0.0532150776053215,16.0,0.0,1.0,A
22,0.2660753880266075,0.0532150776053215,4.0,10.0,3.0,A
23,0.1862527716186252,0.0266075388026607,5.0,7.0,2.0,B
24,0.0,0.0,12.0,0.0,0.0,A
25,0.0798226164079822,0.0266075388026607,2.0,3.0,3.0,C
26,0.0532150776053215,0.0,2.0,2.0,6.0,A
27,0.0532150776053215,0.2660753880266075,1.0,2.0,3.0,A
28,0.0266075388026607,0.1862527716186252,4.0,1.0,2.0,B
29,0.0,0.0,3.0,0.0,4.0,B
30,0.0506542845082313,0.0,2.0,2.0,3.0,C
31,0.0253271422541156,0.0759814267623469,6.0,1.0,5.0,C
32,0.0759814267623469,0.1266357112705783,6.0,3.0,2.0,C
33,0.1266357112705783,0.2026171380329252,2.0,5.0,3.0,B
34,0.0253271422541156,0.0,8.0,1.0,3.0,C
35,0.0,0.0506542845082313,6.0,0.0,2.0,C
36,0.0759814267623469,0.0253271422541156,7.0,3.0,2.0,C
37,0.1266357112705783,0.0759814267623469,5.0,5.0,3.0,C
38,0.2026171380329252,0.1266357112705783,6.0,8.0,2.0,A
39,0.0,0.0253271422541156,10.0,0.0,3.0,C
40,0.025630072618539,0.0768902178556172,1.0,1.0,3.0,C
41,0.0,0.1281503630926954,0.0,0.0,4.0,B
42,0.025630072618539,0.025630072618539,0.0,1.0,1.0,B
43,0.0,0.025630072618539,0.0,0.0,1.0,B
44,0.0,0.0,1.0,0.0,1.0,B
45,0.0768902178556172,0.025630072618539,2.0,3.0,1.0,B
46,0.1281503630926954,0.0,1.0,5.0,0.0,A
