,k,d,a
0,0,4,4
1,1,4,5
2,1,5,6
3,3,4,1
4,2,5,2
5,1,1,12
6,7,1,6
7,3,2,10
8,3,5,4
9,1,5,6
10,1,3,1
11,3,1,2
12,0,2,4
13,2,2,11
14,3,2,4
15,5,1,6
16,5,0,4
17,1,3,9
18,1,2,14
19,0,1,16
20,7,2,5
21,0,0,12
22,3,3,2
23,2,6,2
24,2,3,1
25,1,2,4
26,0,4,3
27,2,3,2
28,1,5,6
29,3,2,6
30,5,3,2
31,1,3,8
32,0,2,6
33,3,2,7
34,5,3,5
35,8,2,6
36,0,3,10
37,1,3,1
38,0,4,0
39,1,1,0
40,0,1,0
41,0,1,1
42,3,1,2
43,5,0,1
44,1,1,7
45,1,0,4
46,0,0,8
47,3,1,5
48,2,1,8
49,3,1,3
50,4,2,3
51,1,0,9
52,1,3,1
53,1,3,3
54,0,1,3
55,2,2,1
56,1,4,2
57,2,4,3
58,5,4,5
59,1,4,3
60,4,2,5
61,0,3,8
62,4,0,6
63,3,2,9
64,5,2,6
65,5,4,4
66,0,4,12
67,0,1,0
68,0,2,3
69,0,2,2
70,2,1,0
71,1,1,2
72,1,1,2
73,1,1,4
74,4,1,2
75,1,1,3
76,0,1,6
77,5,1,5
78,6,1,10
79,3,4,8
80,8,0,4
81,0,5,7
82,1,5,7
83,6,6,1
84,2,4,6
85,1,4,4
86,1,3,5
87,6,2,7
88,3,4,5
89,5,7,10
90,6,3,6
91,1,3,11
92,2,4,6
93,4,5,11
94,6,3,6
95,6,5,3
96,1,4,13
97,1,2,0
98,1,3,0
99,0,3,1
100,1,2,1
101,0,4,1
102,0,1,6
103,7,0,6
104,3,0,6
105,3,1,7
106,1,1,10
107,4,3,1
108,2,4,4
109,1,6,3
110,1,4,4
111,1,3,2
112,2,0,10
113,2,3,5
114,5,0,6
115,0,3,10
116,2,4,3
117,4,3,3
118,0,4,5
119,2,2,4
120,0,5,4
121,4,1,8
122,4,3,10
123,4,2,5
124,3,2,13
125,3,0,14
126,3,2,0
127,1,2,3
128,3,3,2
129,3,3,3
130,0,6,6
131,4,5,3
132,2,3,12
133,1,0,14
134,9,0,4
135,0,2,14
136,4,4,10
137,5,3,10
138,4,2,5
139,7,3,9
140,1,4,12
141,3,8,9
142,1,6,9
143,5,1,4
144,7,1,5
145,0,5,13
146,3,1,8
147,3,1,5
148,2,1,6
149,5,0,7
150,0,2,9
151,0,3,2
152,0,3,4
153,1,3,3
154,2,2,1
155,1,2,2
156,9,6,2
157,2,5,7
158,2,2,3
159,3,4,2
160,1,3,3
161,5,7,5
162,3,2,9
163,4,2,3
164,8,2,4
165,0,4,9
166,1,1,0
167,0,3,1
168,0,5,1
169,0,3,0
170,0,3,0
171,3,1,6
172,3,0,9
173,3,0,4
174,5,1,6
175,1,0,9
176,8,3,5
177,5,2,11
178,6,3,5
179,8,1,10
180,2,6,1
181,0,7,4
182,7,1,3
183,1,5,5
184,1,8,7
185,4,1,3
186,1,1,7
187,4,1,6
188,5,1,9
189,1,4,9
190,1,0,2
191,2,3,5
192,0,5,4
193,3,3,4
194,2,4,6
195,2,2,7
196,5,3,6
197,3,3,3
198,3,2,5
199,0,0,11
200,3,3,2
201,1,2,6
202,2,2,4
203,3,3,4
204,1,3,7
205,1,3,4
206,3,3,3
207,0,3,0
208,2,2,2
209,0,6,5
210,3,2,6
211,4,1,9
212,6,0,5
213,2,3,9
214,2,1,14
215,2,2,8
216,6,1,5
217,3,2,6
218,5,2,7
219,1,2,9
220,2,3,4
221,3,3,2
222,2,4,3
223,2,4,4
224,0,3,6
225,1,5,6
226,6,2,2
227,2,2,4
228,2,3,5
229,1,6,6
230,4,3,4
231,2,2,11
232,6,4,5
233,5,1,7
234,1,2,7
235,0,2,1
236,0,4,1
237,1,1,1
238,1,3,0
239,0,3,1
240,1,1,6
241,4,1,4
242,3,0,3
243,4,0,6
244,1,0,9
245,5,4,5
246,3,0,7
247,1,1,8
248,6,0,4
249,0,0,10
250,2,4,2
251,3,1,2
252,0,3,0
253,0,1,0
254,0,6,0
255,1,2,0
256,2,0,7
257,2,0,3
258,5,0,4
259,1,1,7
260,1,2,1
261,1,2,1
262,0,3,1
263,0,3,1
264,1,1,1
265,1,4,11
266,1,6,10
267,2,5,6
268,2,7,10
269,8,4,9
270,4,4,10
271,7,3,10
272,3,3,8
273,2,3,8
274,2,2,7
275,4,2,7
276,5,3,7
277,1,4,10
278,3,3,4
279,0,4,7
280,5,2,3
281,4,3,5
282,2,3,10
283,0,1,1
284,1,2,1
285,0,2,1
286,1,4,0
287,0,4,1
288,3,1,2
289,0,0,5
290,6,0,2
291,4,1,3
292,0,0,9
293,3,1,7
294,3,1,6
295,5,2,1
296,2,0,4
297,0,2,8
298,3,2,0
299,2,2,2
300,0,3,2
301,1,2,2
302,0,4,3
303,1,4,14
304,2,0,16
305,6,3,7
306,2,2,9
307,2,5,4
308,4,5,3
309,3,4,2
310,0,2,2
311,0,5,1
312,2,2,9
313,2,1,6
314,3,1,5
315,1,3,12
316,1,3,6
317,0,4,7
318,0,3,5
319,4,4,1
320,2,5,2
321,0,2,5
322,5,1,2
323,0,1,4
324,3,0,5
325,3,0,7
326,1,4,1
327,1,3,3
328,2,0,0
329,0,1,1
330,0,3,1
331,3,1,1
332,1,2,3
333,5,0,4
334,5,1,2
335,0,1,7
336,1,3,3
337,3,3,2
338,1,3,0
339,0,2,3
340,0,3,3
341,3,1,6
342,3,3,9
343,0,3,10
344,7,3,4
345,0,2,13
346,6,3,5
347,1,2,9
348,1,2,6
349,4,2,6
350,0,4,8
351,5,2,1
352,0,1,4
353,1,0,2
354,1,1,3
355,0,2,4
356,1,3,1
357,2,3,3
358,1,0,2
359,2,0,3
360,0,1,3
361,4,5,10
362,4,8,9
363,3,2,13
364,1,4,15
365,6,5,7
366,4,5,12
367,5,0,10
368,1,4,12
369,5,1,10
370,5,1,8
371,6,4,10
372,7,1,4
373,2,3,10
374,6,4,2
375,0,5,8
376,1,5,5
377,2,4,4
378,1,7,6
379,2,4,6
380,3,1,6
381,5,1,0
382,7,1,4
383,1,4,11
384,4,5,4
385,1,4,3
386,2,2,5
387,4,4,1
388,0,3,7
389,0,1,7
390,5,4,8
391,4,2,8
392,3,0,10
393,1,4,5
394,3,7,7
395,1,7,4
396,5,3,1
397,2,4,8
398,2,2,6
399,4,1,5
400,9,2,4
401,5,1,6
402,0,3,9
403,1,2,2
404,2,2,2
405,2,6,3
406,3,4,3
407,1,6,6
408,2,4,3
409,2,5,5
410,1,3,4
411,3,5,5
412,1,4,8
413,3,1,8
414,4,2,13
415,9,0,8
416,5,2,13
417,0,4,14
418,4,1,5
419,2,1,7
420,1,1,7
421,3,0,5
422,2,2,7
423,1,3,2
424,1,3,3
425,2,2,2
426,1,3,1
427,0,1,2
428,2,1,2
429,1,0,6
430,4,1,6
431,3,2,3
432,0,0,8
433,0,2,1
434,1,2,1
435,2,1,0
436,1,1,2
437,0,4,1
438,2,3,3
439,1,2,5
440,4,4,3
441,2,2,6
442,0,4,6
443,2,2,5
444,1,2,12
445,5,2,7
446,7,1,5
447,0,2,11
448,5,2,5
449,0,4,15
450,5,1,7
451,7,1,7
452,1,4,10
453,3,3,2
454,2,4,7
455,1,3,8
456,5,4,1
457,0,4,7
458,1,2,0
459,1,1,2
460,0,3,1
461,0,2,1
462,1,1,0
463,1,0,3
464,1,0,5
